validation_datetime,serial,loc_id,ticket_class,user_category
2023-01-13 10:08:00,-4089257785,5050,RET,Retirees
2023-01-14 12:26:00,-3619229878,5021,75,Occasional Travellers
2023-01-13 07:48:00,-3619214878,5028,M-RES,Residents
2023-01-14 09:25:00,-3619203993,5084,75,Occasional Travellers
2023-01-13 07:13:00,-3619203938,5031,M-RES,Residents
2023-01-13 14:21:00,-3619151477,5115,75,Occasional Travellers
2023-01-14 14:15:00,-3619142039,5096,75,Occasional Travellers
2023-01-14 12:00:00,-3619134084,5001,M-RES,Residents
2023-01-14 05:01:00,-3619109226,5036,M-RES,Residents
2023-01-13 09:52:00,-3619070187,5024,Y-STUD,Students
2023-01-14 16:30:00,-3619064786,-2,75,Occasional Travellers
2023-01-13 14:00:00,-3613141956,-2,M-RES,Residents
2023-01-13 12:27:00,-3613141612,5013,M-RES,Residents
2023-01-14 17:40:00,-3613139960,5031,M-STUD,Students
2023-01-13 21:00:00,-3613133995,5039,M-STUD,Students
2023-01-13 13:05:00,-3613133354,5001,M-RES,Residents
2023-01-14 10:18:00,-3613132000,-1,75,Occasional Travellers
2023-01-13 17:00:00,-3613120442,5001,M-RES,Residents
2023-01-14 11:24:00,-3613118745,5135,75,Occasional Travellers
2023-01-14 13:31:00,-3613109231,5076,75,Occasional Travellers
2023-01-13 08:06:00,-3613106244,-1,75,Occasional Travellers
2023-01-14 17:17:00,-3613103598,-2,75,Occasional Travellers
2023-01-13 09:00:00,-3613103046,-2,75,Occasional Travellers
2023-01-13 12:00:00,-3613088797,5005,M-RES,Residents
2023-01-13 13:00:00,-3613087058,5076,M-RES,Residents
2023-01-13 09:29:00,-3613085733,5060,75,Occasional Travellers
2023-01-14 14:03:00,-3613083537,5060,75,Occasional Travellers
2023-01-13 07:00:00,-3613081671,5022,Y-RES,Residents
2023-01-13 15:58:00,-3613078999,5060,Y-RES,Residents
2023-01-14 12:41:00,-3613076330,5031,Y-STUD,Students
2023-01-13 15:27:00,-3613076220,5032,Y-STUD,Students
2023-01-14 14:20:00,-3613075044,5039,75,Occasional Travellers
2023-01-13 11:29:00,-3613063018,5022,M-RES,Residents
2023-01-14 17:01:00,-3613062236,5132,75,Occasional Travellers
2023-01-14 20:54:00,-3613058456,5037,75,Occasional Travellers
2023-01-14 03:00:00,-3613052033,-2,Y-STUD,Students
2023-01-13 20:35:00,-3613052005,-1,M-STUD,Students
2023-01-13 15:37:00,-3613047566,5006,Y-RES,Residents
2023-01-14 23:28:00,-3613046986,5013,Y-STUD,Students
2023-01-14 15:34:00,-3604992574,-1,M-RES,Residents
2023-01-14 02:02:00,-3604990133,5039,Y-RES,Residents
2023-01-13 16:29:00,-3604986512,-1,75,Occasional Travellers
2023-01-14 09:10:00,-3604982583,5043,M-RES,Residents
2023-01-13 07:32:00,-3604973096,5049,75,Occasional Travellers
2023-01-14 15:51:00,-3604969911,-1,M-RES,Residents
2023-01-13 09:44:00,-3604966557,5036,Y-RES,Residents
2023-01-13 05:00:00,-3604960391,5022,75,Occasional Travellers
2023-01-13 15:26:00,-3604953481,5108,M-RES,Residents
2023-01-14 16:20:00,-3604953300,5053,75,Occasional Travellers
2023-01-14 13:51:00,-3604950049,5042,M-STUD,Students
