validation_datetime,serial,stop,title,title_description
2023-01-13 00:00:00,40834866809772548,162,12101,Bigl.Aut.75'Mestre/Lido-tsc
2023-01-13 01:00:00,41960767511420164,5032,11261,"DailyP-Tpl19,90-C.Ve5,10"
2023-01-13 02:01:00,-3604937725,5132,23303,Abb stud. ReteUnica 12 mesi 
2023-01-13 03:00:00,-3604940324,5043,23303,Abb stud. ReteUnica 12 mesi 
2023-01-13 03:28:00,40834866813803012,5037,11108,"72h-Tpl 38,40-ComVe6,60"
2023-01-13 04:01:00,-2824232094,5036,23101,Mensile ordinario Rete Unica
2023-01-13 05:00:00,-3604960391,5022,11209,Bigl RETE UNICA 75'
2023-01-13 06:00:00,-2854841034,5133,23101,Mensile ordinario Rete Unica
2023-01-13 06:49:00,-2824209656,5001,20013,Annuale ORDINARIO ISOLE
2023-01-13 07:00:00,-3613081671,5022,23102,Annuale ordinario Rete Unica
2023-01-13 07:13:00,-3619203938,5031,23101,Mensile ordinario Rete Unica
2023-01-13 07:14:00,-2854818424,5031,23303,Abb stud. ReteUnica 12 mesi 
2023-01-13 07:32:00,-3604973096,5049,11209,Bigl RETE UNICA 75'
2023-01-13 07:42:00,-2818077286,5036,23102,Annuale ordinario Rete Unica
2023-01-13 07:48:00,-3619214878,5028,23101,Mensile ordinario Rete Unica
2023-01-13 08:00:00,-2821780727,5031,23101,Mensile ordinario Rete Unica
2023-01-13 08:01:00,40833007087978244,3267,7008,ARRIVA VENETO tratta 8-9-10
2023-01-13 08:06:00,-3613106244,6022,11209,Bigl RETE UNICA 75'
2023-01-13 08:15:00,-2818078899,508,11209,Bigl RETE UNICA 75'
2023-01-13 08:28:00,-2818102071,5043,23102,Annuale ordinario Rete Unica
2023-01-13 08:47:00,-2821834261,5029,11219,Biglietto di bordo CV 75'
2023-01-13 08:48:00,40553621335814404,5039,11101,"75'-Tpl 8,64-ComVe0,86"
2023-01-13 09:00:00,-3613103046,510,11209,Bigl RETE UNICA 75'
2023-01-13 09:04:00,-2824216238,5042,23101,Mensile ordinario Rete Unica
2023-01-13 09:07:00,40551645786508804,5032,11107,"48h-Tpl 29,90-ComVe5,10"
2023-01-13 09:24:00,36369992883770116,1080,12101,Bigl.Aut.75'Mestre/Lido-tsc
2023-01-13 09:29:00,-3613085733,5060,11209,Bigl RETE UNICA 75'
2023-01-13 09:29:00,-2821750925,5003,11402,Traghetto residente LIDO
2023-01-13 09:44:00,-3604966557,5036,23102,Annuale ordinario Rete Unica
2023-01-13 09:52:00,-3619070187,5024,21324,Abb.stud.Ann.PELLESTRINA
2023-01-13 10:00:00,-2824285951,5005,23406,Abb. over75 GRATUITO
2023-01-13 10:08:00,-4089257785,5050,21403,Abbonamento pensionati Actv
2023-01-13 10:17:00,-2855013283,5028,9001,Libera circ. RETE intera
2023-01-13 10:26:00,-2821799396,5043,23102,Annuale ordinario Rete Unica
2023-01-13 10:30:00,-2818097704,5001,23102,Annuale ordinario Rete Unica
2023-01-13 10:42:00,-2824270598,4515,11209,Bigl RETE UNICA 75'
2023-01-13 10:50:00,-2821775794,5094,11209,Bigl RETE UNICA 75'
2023-01-13 10:51:00,-2821767747,5013,23102,Annuale ordinario Rete Unica
2023-01-13 11:00:00,-2821750782,5028,23101,Mensile ordinario Rete Unica
2023-01-13 11:22:00,-2824287395,5037,11209,Bigl RETE UNICA 75'
